iter	RMSE
0	0.5671530487
1	0.5287332478
2	0.4942027235
3	0.4644694016
4	0.4387253694
5	0.4157593213
6	0.3955765831
7	0.3783895453
8	0.3636157603
9	0.350597634
10	0.3396508403
11	0.3301933169
12	0.3222578162
13	0.3154333184
14	0.3095987225
15	0.3047066836
16	0.2997412714
17	0.2959342057
18	0.2926051276
19	0.289801077
20	0.2874577317
21	0.2853787573
22	0.2833238231
23	0.2813230087
24	0.2797959459
25	0.2783945106
26	0.2773090407
27	0.2762035124
28	0.2752766675
29	0.2745148663
30	0.2739046184
31	0.2733245875
32	0.2726370776
33	0.2719249177
34	0.2710646087
35	0.2705436631
36	0.2700753918
37	0.2695627936
38	0.2694726905
39	0.2689184982
40	0.2682986196
41	0.267836733
42	0.2673087575
43	0.2670436399
44	0.266635942
45	0.266314041
46	0.2660209607
47	0.2657433861
48	0.2654981719
49	0.2653074272
50	0.2651268409
51	0.2645415588
52	0.2640745269
53	0.2639369008
54	0.2636055309
55	0.2634548075
56	0.2633039008
57	0.2630186324
58	0.2627074727
59	0.2625309544
60	0.2624097048
61	0.2622893189
62	0.2621581081
63	0.2620480062
64	0.2619856966
65	0.261772228
66	0.2616310369
67	0.2615413437
68	0.2614720136
69	0.2613214933
70	0.261183469
71	0.2609383432
72	0.260573437
73	0.2605658823
74	0.2603178313
75	0.260111689
76	0.2600474988
77	0.2599657457
78	0.2598552958
79	0.2596901151
80	0.2595651794
81	0.2594665532
82	0.2594659882
83	0.2593107575
84	0.2591498033
85	0.2590227311
86	0.2588708455
87	0.258774917
88	0.2586201451
89	0.2584577727
90	0.2582034842
91	0.2581132815
92	0.2579622319
93	0.2578551475
94	0.2574476587
95	0.2573573549
96	0.2572619732
97	0.2571932073
98	0.2571916712
99	0.2570458702
100	0.2568655784
101	0.2565924237
102	0.2565304708
103	0.2564440133
104	0.2563060239
105	0.2562091104
106	0.2559732636
107	0.2558697036
108	0.25574461
109	0.2556063207
110	0.2553782674
111	0.2551770807
112	0.2548731565
113	0.2547442881
114	0.2547153007
115	0.2546322546
116	0.2545541323
117	0.2544248978
118	0.2543653463
