iter	Passed	Remaining
0	149	104436
1	307	107278
2	495	115143
3	661	115058
4	840	116860
5	1006	116440
6	1191	117959
7	1387	119985
8	1590	122084
9	1792	123665
10	1998	125158
11	2249	128955
12	2464	130225
13	2661	130393
14	2819	128768
15	2976	127252
16	3147	126472
17	3322	125882
18	3527	126419
19	3752	127596
20	3911	126473
21	4144	127731
22	4372	128696
23	4608	129802
24	4798	129563
25	5009	129856
26	5239	130597
27	5434	130430
28	5686	131582
29	5857	130817
30	6000	129498
31	6186	129151
32	6383	129023
33	6577	128837
34	6795	129123
35	7019	129473
36	7207	129155
37	7368	128364
38	7491	126974
39	7660	126393
40	7884	126734
41	8062	126316
42	8242	125931
43	8407	125340
44	8587	124989
45	8790	124978
46	8985	124842
47	9158	124405
48	9342	124121
49	9505	123576
50	9701	123459
51	9860	122881
52	10022	122354
53	10190	121913
54	10354	121428
55	10526	121054
56	10735	121102
57	10900	120659
58	11094	120530
59	11330	120854
60	11527	120757
61	11710	120508
62	11946	120789
63	12121	120457
64	12308	120240
65	12517	120245
66	12697	119965
67	12877	119683
68	13102	119821
69	13268	119419
70	13453	119183
71	13646	119028
72	13882	119238
73	13967	118159
74	14188	118235
75	14346	117791
76	14522	117503
77	14709	117301
78	14892	117069
79	15075	116838
80	15272	116715
81	15462	116533
82	15515	115341
83	15725	115323
84	15906	115091
85	16086	114847
86	16260	114569
87	16476	114585
88	16695	114618
89	16854	114239
90	17043	114061
91	17213	113761
92	17408	113621
93	17594	113429
94	17775	113201
95	17973	113083
96	18189	113073
97	18400	113030
98	18455	112037
99	18643	111858
100	18822	111628
101	19024	111535
102	19251	111581
103	19415	111268
104	19605	111098
105	19788	110889
106	19971	110685
107	20169	110559
108	20393	110575
109	20620	110600
110	20804	110396
111	20971	110102
112	21208	110171
113	21447	110247
114	21649	110130
115	21856	110038
116	22099	110120
117	22355	110261
118	22595	110317
119	22991	111126
120	23239	111205
121	23415	110934
122	23567	110556
123	23714	110158
124	23852	109722
125	24019	109423
126	24190	109141
127	24368	108895
128	24597	108876
129	24804	108759
130	24976	108485
131	25196	108419
132	25450	108501
133	25694	108532
134	25913	108454
135	26150	108446
136	26323	108175
137	26553	108136
138	26780	108085
139	27037	108148
140	27295	108214
141	27547	108251
142	27754	108105
143	27953	107929
144	28154	107762
145	28343	107551
146	28550	107404
147	28777	107332
148	28979	107166
149	29170	106958
150	29393	106869
151	29609	106751
152	29848	106711
153	30038	106501
154	30238	106321
155	30432	106124
156	30623	105914
157	30813	105702
158	30989	105443
159	31175	105216
160	31368	105016
161	31572	104852
162	31813	104809
163	32038	104711
164	32234	104516
165	32433	104334
166	32626	104131
167	32832	103969
168	33026	103769
169	33230	103600
170	33479	103571
171	33713	103492
172	33966	103470
173	34207	103408
174	34461	103384
175	34695	103297
176	34929	103208
177	35162	103116
178	35403	103045
179	35625	102919
180	35861	102828
181	36100	102747
182	36331	102640
183	36538	102465
184	36759	102330
185	36997	102241
186	37241	102165
187	37478	102068
188	37692	101908
189	37948	101861
190	38191	101777
191	38461	101763
192	38719	101714
193	38980	101670
194	39223	101578
195	39477	101512
196	39720	101418
197	39962	101320
198	40217	101250
199	40459	101148
200	40620	100843
201	40814	100622
202	41026	100443
203	41224	100232
204	41390	99942
205	41595	99747
206	41745	99423
207	41915	99146
208	42078	98854
209	42231	98540
210	42448	98376
211	42640	98154
212	42826	97918
213	42991	97634
214	43149	97337
215	43326	97084
216	43514	96853
217	43699	96620
218	43864	96340
219	44023	96050
220	44173	95743
221	44413	95628
222	44598	95395
223	44823	95248
224	45025	95054
225	45243	94891
226	45478	94763
227	45648	94499
228	45860	94324
229	46058	94119
230	46228	93858
231	46429	93658
232	46603	93406
233	46817	93234
234	46971	92943
235	47137	92677
236	47304	92413
237	47507	92220
238	47674	91958
239	47828	91672
240	48012	91442
241	48202	91226
242	48368	90964
243	48560	90752
244	48741	90520
245	48940	90321
246	49149	90140
247	49333	89915
248	49575	89792
249	49775	89596
250	49968	89385
251	50128	89117
252	50307	88883
253	50503	88679
254	50687	88455
255	50826	88151
256	51015	87936
257	51210	87733
258	51415	87544
259	51577	87284
260	51722	86996
261	51920	86797
262	52133	86625
263	52327	86419
264	52523	86218
265	52687	85963
266	52881	85759
267	53053	85518
268	53208	85252
269	53421	85078
270	53657	84940
271	53858	84747
272	54043	84529
273	54219	84297
274	54366	84020
275	54511	83742
276	54661	83471
277	54891	83323
278	55067	83094
279	55227	82841
280	55483	82731
281	55650	82489
282	55778	82189
283	55958	81967
284	56133	81737
285	56341	81556
286	56499	81304
287	56673	81074
288	56822	80810
289	57016	80609
290	57248	80462
291	57401	80205
292	57576	79978
293	57741	79738
294	57923	79522
295	58095	79291
296	58267	79063
297	58423	78813
298	58599	78590
299	58768	78358
300	58957	78152
301	59133	77931
302	59324	77728
303	59507	77516
304	59672	77280
305	59844	77055
306	60018	76831
307	60195	76612
308	60390	76416
309	60592	76229
310	60747	75983
311	60906	75743
312	61077	75517
313	61258	75304
314	61456	75113
315	61625	74886
316	61867	74748
317	62013	74494
318	62165	74247
319	62348	74039
320	62494	73786
321	62676	73576
322	62859	73368
323	63044	73162
324	63217	72943
325	63449	72791
326	63630	72582
327	63836	72400
328	63999	72169
329	64186	71966
330	64371	71761
331	64578	71581
332	64764	71377
333	64953	71176
334	65159	70994
335	65402	70853
336	65652	70718
337	65877	70555
338	66129	70420
339	66333	70235
340	66575	70089
341	66819	69945
342	67066	69804
343	67333	69682
344	67576	69535
345	67832	69400
346	68080	69257
347	68323	69108
348	68556	68949
349	68728	68728
350	68886	68493
351	69054	68269
352	69225	68048
353	69388	67820
354	69576	67616
355	69741	67390
356	69925	67183
357	70093	66960
358	70290	66766
359	70474	66559
360	70716	66407
361	70955	66250
362	71156	66059
363	71335	65848
364	71512	65634
365	71717	65446
366	71901	65240
367	72121	65065
368	72344	64894
369	72529	64688
370	72710	64479
371	72894	64272
372	73057	64047
373	73277	63873
374	73461	63666
375	73674	63485
376	73834	63259
377	74006	63042
378	74163	62813
379	74354	62614
380	74506	62382
381	74670	62160
382	74840	61943
383	75023	61738
384	75192	61521
385	75382	61321
386	75578	61127
387	75776	60933
388	75970	60737
389	76130	60514
390	76329	60321
391	76525	60127
392	76699	59915
393	76884	59712
394	77087	59523
395	77234	59291
396	77430	59097
397	77628	58903
398	77883	58754
399	78117	58587
400	78360	58428
401	78593	58260
402	78823	58091
403	79045	57914
404	79318	57775
405	79556	57609
406	79739	57404
407	79947	57217
408	80175	57044
409	80417	56880
410	80657	56715
411	80914	56561
412	81136	56383
413	81335	56188
414	81535	55994
415	81750	55810
416	81948	55615
417	82177	55440
418	82425	55278
419	82638	55092
420	82901	54939
421	83155	54780
422	83406	54618
423	83663	54460
424	83899	54287
425	84149	54124
426	84396	53958
427	84614	53773
428	84808	53573
429	85005	53375
430	85205	53178
431	85396	52977
432	85582	52772
433	85796	52584
434	85986	52382
435	86219	52206
436	86442	52023
437	86711	51868
438	86930	51683
